WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
,Perpetualis,20,Strand,Adaptive,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Keep Away,"Hatchling
Golden Tricorn",Noble Deeds,outdated reload perks + mediocre splash,44,E
,Chrysura Melo,15,Solar,High-Impact,54,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Ensemble
Outlaw","Dragonfly
Frenzy",None,outdated reload perks + mediocre splash,45,E
,The Forward Path,11,Kinetic,Adaptive,60,No,Hitmark IS,"Flared Magwell
Alloy Magazine","Grave Robber
Feeding Frenzy",Swashbuckler,None,oudated melee-focused perks,46,E
,Seventh Seraph Carbine,19,Kinetic,Precision,51,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Reconstruction
Pugilist","Frenzy
Swashbuckler",Rasputin's Arsenal,consistency-focused roll available but very outdated and mid frame,47,E
,Sorrow's Verse,15,Arc,Adaptive,49,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Feeding Frenzy
Subsistence","Frenzy
One for All",Suros Synergy,outdated reload perks + no splash,48,F
,Arc Logic,8,Arc,Adaptive,49,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Feeding Frenzy
Subsistence","Frenzy
Surrounded",None,outdated reload perks + no splash,49,F
,Lodbrok-C,19,Kinetic,High-Impact,46,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Demolitionist,"Kill Clip
Adrenaline Junkie",Häkke Breach Armaments,bad frame + outdated perks,50,F
,Gnawing Hunger,6,Void,Adaptive,55,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Auto-Loading Holster
Subsistence
Field Prep","Swashbuckler
Kill Clip",None,okay reload perks but outdated single target perks,51,F
,Firefright,17,Kinetic,Precision,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Threat Detector,Surrounded,Extrovert,Surrounded on an auto,52,F
,The Number,14,Arc,Precision,60,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Field Prep
Surplus",One for All,None,weird reload perks + OFA not great especially with no pairing,53,F
,Scathelocke,15,Kinetic,Adaptive,50,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Subsistence,Adrenaline Junkie,None,no redeeming qualities,54,F
