#,Pic,Role,Name,Column 1,Column 2,Perk 1,Perk 2,Notes
3,,Main,Abyssal Edge,Jagged Edge,Swordmaster's Guard,Relentless Strikes,"Elemental Honing
Surrounded","Best wave without Whirlwind, Honing arguably more consistent than Whirlwind in some cases"
3,,Buff,Adamantite,Fluted Barrel,Flared Magwell,"Reciprocity
Slice",Attrition Orbs,"Alternative to No Hesitation in case kinetic slot needed, but no Physic hurts"
3,,Filler,Anarchy,Fixed,Fixed,Fixed,Fixed,"Mediocre total damage compared to dump time, but pairs well with Praedyth's"
3,,Main,Apex Predator,Quick Launch,Impact Casing,"Reconstruction
Slideways","Bait and Switch
Surrounded","Surrounded still BiS in some cases, still performs decently despite Hezen overshadowing"
3,,Filler,Barrow-Dyad,Fluted Barrel,Alloy Magazine,Taken Ambition,Target Lock,Similar to max stack Outbreak with no windup if Peacekeepers used
3,,Main,Bastion,Fixed,Fixed,Fixed,Fixed,"Surprisingly decent total damage and DPS, just melee-restricted and a little awkward"
3,,Main,Bitter/Sweet,Quick Launch,Spike Grenades,Envious Arsenal,"Bait and Switch
Cascade Point","Classic perk combo, most standard HGL for damage"
3,,Utility,Briarbinds,/,/,/,/,Best ability-based debuff extension in the game
3,,Main,Cloudstrike,Fixed,Fixed,Fixed,Fixed,Very respectable total damage and DPS for a fairly easy-to-use special
3,,Main,D.A.R.C.I.,Fixed,Fixed,Fixed,Fixed,"Decent damage on its own, empowers Praedyth's to become quite competitive"
3,,Main,Dimensional Hypotrochoid,Quick Launch,High-Velocity Rounds,Envious Assassin,One for All,Best legendary Raneiks damage option
3,,Utility,Divinity,Fixed,Fixed,Fixed,Fixed,Still useful in high-pressure environments for weapons like Thunderlord and Queenbreaker
3,,Filler,Eriana's Vow,Fixed,Fixed,Fixed,Fixed,Excellent special damage with Unloved swapping
3,,Main,Euphony,Fixed,Fixed,Fixed,Fixed,Only kinetic slot weapon realistically competitive with Praedyth's for total damage
3,,Utility,Felwinter's Helm,/,/,/,/,One of the only sources of extendable 30% debuff
3,,Main,Geodetic HSm,Jagged Edge,Swordmaster's Guard,Relentless Strikes,Whirlwind Blade,Best adaptive Whirlwind sword
3,,Buff,Hazardous Propulsion,/,/,/,/,"35% buff is a little overrated, but the free volley damage isn't bad"
3,,Main,Hullabaloo,Quick Launch,High-Velocity Rounds,"Envious Assassin
Envious Arsenal","One for All
Cascade Point",Dimensional alternative for Raneiks
3,,Filler,Ice Breaker,Fixed,Fixed,Fixed,Fixed,High and consistent swap burst option for Envious rotations
3,,Filler,Imperial Decree,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded","Great for low health burst damage, best general Trench option"
3,,Filler,Keen Thistle,Fluted Barrel,Extended Mag,"Envious Assassin
Triple Tap","Bait and Switch
Fourth Time's the Charm","Decent swap option, has very high total damage roll"
3,,Filler,Merciless,Fixed,Fixed,Fixed,Fixed,"Decent burst damage when Impetus is available, but generally not BiS"
3,,Filler,Outbreak Perfected,Fluted Barrel,Appended Mag,Rewind Rounds,Short-Action Stock,Best fireteam-wide sustained primary damage
3,,Burst,Parasite,Fixed,Fixed,Fixed,Fixed,"Good synergy with holsters, but generally not BiS in current sandbox"
3,,Reload,Rain of Fire,/,/,/,/,"Overshadowed by Sanguine + Envious, but still important to use in some cases"
3,,Filler,Scatter Signal,Fluted Barrel,Accelerated Coils,Overflow,Controlled Burst,Excellent lazy dark Transcendence generator for Tractor/Gjallarhorn users
3,,Main,Summum Bonum,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Attrition Orbs
Deconstruct","Chaos Reshaped
Whirlwind Blade","Best wave sword damage, but still a little worse overall than casters for general use"
3,,Main,Temptation's Hook,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Attrition Orbs",Whirlwind Blade,Ill Omen alternative with worse stats
3,,Filler,The Fourth Horseman,Fixed,Fixed,Fixed,Fixed,"Still usable post-nerf, but relatively niche"
3,,Filler,The Mountaintop,"Hard Launch
Quick Launch","Implosion Rounds
Spike Grenades","Auto-Loading Holster
Overflow
Demolitionist","Recombination
Vorpal Weapon","Higher per-shot than Liturgy, but worse synergy with Courage/Honing"
3,,Utility,The Navigator,Fixed,Fixed,Fixed,Fixed,Needed for grapple melee damage viability
3,,Main,The Wardcliff Coil,Fixed,Fixed,Fixed,Fixed,Usable for certain bosses (Dul Incaru)
3,,Ability,Verity's Brow,/,/,/,/,"Good in certain scenarios, like Atheon/Rhulk, otherwise Sanguine is much better"
3,,Filler,VS Velocity Baton,Quick Launch,High-Velocity Rounds,Demolitionist,"Bait and Switch
High Ground
Attrition Orbs",Alternative to Psychopomp that has Attrition Orbs
3,,Main,Wicked Sister,Quick Launch,Spike Grenades,Envious Arsenal,"Bait and Switch
Cascade Point
High Ground","Good pairing with Euphony, mediocre otherwise"
3,,Main,Winterbite,Fixed,Fixed,Fixed,Fixed,Best glaive melee damage source
3,,Filler,Witherhoard,Fixed,Fixed,Fixed,Fixed,Great long-term DoT for Envious rotations
3,,Ability,Wormgod Caress,Fixed,Fixed,Fixed,Fixed,Best burst melee exotic until Guile gets a meter
4,,Main,Ager's Scepter,Fixed,Fixed,Fixed,Fixed,Decent QoL special damage especially with Command available
4,,Filler,Alethonym,Fixed,Fixed,Fixed,Fixed,"Usable as full fireteam-stackable DoT for Envious, but short-term and annoying"
4,,Utility,Apotheosis Veil,/,/,/,/,"Used in speedruns to give teammates abilities back, otherwise Solipsism variant is much more relevant"
4,,Buff,Boots of the Assembler,/,/,/,/,"Annoying way to get 5s Lumina buff, inconsistent generally"
4,,Main,Cataphract GL3,Quick Launch,Spike Grenades,Envious Assassin,"Bait and Switch
Cascade Point","Envious Assassin allows for easy dump with no loadout changes, but essentially irrelevant now"
4,,Main,Cold Comfort,Quick Launch,Impact Casing,Envious Assassin,"Bait and Switch
Explosive Light","Still usable for burst, but Overflow on Hezen is much better"
4,,Filler,Conditional Finality,Fixed,Fixed,Fixed,Fixed,"Decent option for Envious filler, with Command can trigger 3 times"
4,,Filler,Critical Anomaly,Fluted Barrel,Extended Mag,Chill Clip,Chaos Reshaped,"Decent damage for two Chill Clip shots, but awkward to maintain"
4,,Main,Crux Termination IV,Quick Launch,Impact Casing,"Slideshot
Reconstruction
Clown Cartridge","Explosive Light
Surrounded","Surrounded means still relevant, but very niche"
4,,Filler,Dead Weight,Barrel Shroud,Tactical Mag,"Auto-Loading Holster
Grave Robber
Field Prep","Surrounded
Vorpal Weapon
One-Two Punch",Decent non-enhanced energy slot shotgun
4,,Filler,Falling Guillotine,Jagged Edge,Swordmaster's Guard,Frenzy,"Whirlwind Blade
Surrounded","Double damage perks make it decent, but vortex frame really destroys total"
4,,Filler,Finality's Auger,Fixed,Fixed,Fixed,Fixed,More annoying Anarchy alternative that does a bit more damage
4,,Buff,Foetracer,/,/,/,/,"Less relevant than Relativism equivalent, but still used sometimes"
4,,Main,Grand Overture,Fixed,Fixed,Fixed,Fixed,Generally overshadowed by Thunderlord now
4,,Main,Koraxis's Distress,Quick Launch,Spike Grenades,Envious Assassin,Surrounded,Surrounded equivalent to Cataphract dump
4,,Buff,Lucky Pants,/,/,/,/,"Relatively niche in current sandbox, but still usable"
4,,Filler,Malfeasance,Fixed,Fixed,Fixed,Fixed,Largely irrelevant for LP damage except against Taken
4,,Buff,Mask of Bakris,/,/,/,/,"4x surges for two weapon types, can be useful in some niche scenarios"
4,,Main,Microcosm,Fixed,Fixed,Fixed,Fixed,"Can be useful against shield-based enemies (GotD, certain Dread)"
4,,Filler,Nessa's Oblation,Fluted Barrel,Assault Mag,"Reconstruction
Fourth Time's the Charm",Vorpal Weapon,"Not very relevant compared to Unvoiced, but has FTTC and more swap-friendly perks"
4,,Main,One Thousand Voices,Fixed,Fixed,Fixed,Fixed,Probably the easiest high damage exotic to use in the game
4,,Main,Rake Angle,Lightweight Emitter,Swap Mag,N/A,Close to Melee,Any CtM glaive works here
4,,Main,Regnant,Quick Launch,Sticky Grenades,"Envious Assassin
Auto-Loading Holster",Explosive Light,Has some use for total damage strategies involving Attrition Orbs
4,,Ability,Relativism,/,/,"Spirit of Inmost Light
Spirit of the Dragon
Spirit of the Foetracer","Spirit of the Star-Eater
Spirit of Synthoceps","Generally unused due to Nighthawk and Still Hunt synergy, but some options exist"
4,,Filler,Riiswalker,Barrel Shroud,Assault Mag,Quickdraw,Vorpal Weapon,"Double pellet options, fairly irrelevant in current sandbox"
4,,Filler,Seventh Seraph CQC-12,Barrel Shroud,Assault Mag,Auto-Loading Holster,Vorpal Weapon,"Double pellet options, fairly irrelevant in current sandbox"
4,,Ability,Star-Eater Scales,/,/,/,/,For use with supers like Gathering Storm and Silence and Squall
4,,Filler,Supercluster,Fluted Barrel,Assault Mag,"Reconstruction
Fourth Time's the Charm
Threat Detector","Vorpal Weapon
Surrounded
Cascade Point","Best kinetic slug swap option, but generally not very relevant"
4,,Reload,The Dragon's Shadow,/,/,/,/,Can be useful with weapons like The Fourth Horseman in fast dump rotations
4,,Filler,The Supremacy,Fluted Barrel,Appended Mag,Rewind Rounds,"Kinetic Tremors
Bait and Switch",Strictly worse than Praedyth's in every way
4,,Main,Tomorrow's Answer,Quick Launch,Impact Casing,Envious Arsenal,Bait and Switch,Hezen predecessor with worse archetype
4,,Ability,Triton Vice,/,/,/,/,Synthoceps-equivalent glaive melee booster for hunter
4,,Filler,Unloved,Fluted Barrel,Appended Mag,Rapid Hit,Elemental Honing,Only relevant legendary LP HC
4,,Filler,Until Its Return,Barrel Shroud,Tactical Mag,Auto-Loading Holster,"Surrounded
Cascade Point
Vorpal Weapon",Best kinetic slot sustained pellet damage
4,,Main,Whisper of the Worm,Fluted Barrel,Steady Rounds,Field Prep,Short-Action Stock,Overshadowed by Queenbreaker
4,,Ability,Winter's Guile,/,/,/,/,"Best burst damage option for Winterbite, but very niche and restrictive"
4,,Filler,Without Remorse,Barrel Shroud,Assault Mag,"Field Prep
Threat Detector","Vorpal Weapon
One-Two Punch","Double pellet options, fairly irrelevant in current sandbox"
4,,Filler,Yesterday's Question,Fluted Barrel,Appended Mag,Rapid Hit,Vorpal Weapon,"Best energy slot legendary LP HC, basically irrelevant"
