WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
,Epochal Integration,21,Solar,Adaptive,54,No,Smallbore,Ricochet Rounds,Stats for All,Incandescent,Nanotech Tracer Missiles,"single splash + okay reload perk and archetype, solid origin",26,C
,Trust,20,Solar,Precision,60,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Rapid Hit
Stats for All","Incandescent
Dragonfly
Explosive Payload",Gun and Run,"single splash + solid reload perks and archetype, mediocre origin",27,C
,Exuviae,25,Stasis,Aggressive,54,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Stats for All
Rimestealer","Headstone
Explosive Payload",Dark Ether Reaper,Headstone + origin carries despite bad archetype and mid 1st column,28,C
,Waking Vigil,23,Arc,Adaptive,46,No,Fluted Barrel,"Flared Magwell
Alloy Magazine","Rapid Hit
Shoot to Loot","Voltshot
Dragonfly",Advanced Reflexes,"single splash + solid reload perk, okay archetype",29,C
,The Palindrome,26,Arc,Adaptive,50,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Explosive Payload
Recycled Energy","Rolling Storm
Desperate Measures",Wild Card,no good splash perks on okay archetype,30,C
,Igneous Hammer,22,Solar,Aggressive,55,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Heal Clip
Rapid Hit","Incandescent
Frenzy",One Quiet Moment,like Luna's except worse archetype and even worse reload,31,C
,"Judgment
RotN version",26,Stasis,Adaptive,50,Yes,Fastdraw HCS,"Flared Magwell
Alloy Magazine","Headstone
Demolitionist
Rapid Hit","Timed Payload
Rimestealer",Gravity Well,EP + Headstone on okay archetype,32,C
,Judgment,23,Stasis,Adaptive,50,Yes,Fastdraw HCS,"Flared Magwell
Alloy Magazine","Headstone
Demolitionist
Enlightened Action",Timed Payload,Crossing Over,slightly worse perks and origin than RotN version,33,C
,Something New,24,Stasis,Aggressive,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Rapid Hit
Demolitionist","Headstone
Explosive Payload
Frenzy",Dream Work,like Exuviae but none of the cool stuff,34,D
,Eyasluna,15,Stasis,Adaptive,54,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine","Rapid Hit
Unrelenting",Headstone,None,better archetype than Something New but no origin/enhancement,35,D
,Finite Impactor,27,Solar,Adaptive,49,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Heal Clip
Enlightened Action","Burning Ambition
Precision Instrument",Skulking Wolf,bad HC damage perk,36,D
,Spare Rations,21,Kinetic,Adaptive,57,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,"Kinetic Tremors
Kill Clip",Disaster Plan,KT not great on HCs but not terrible,37,D
,Better Devils,24,Strand,Adaptive,50,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Enlightened Action
Demolitionist
Slice","Explosive Payload
Hatchling
Frenzy",One Quiet Moment,outdated mostly single target-focused perks,38,D
,Targeted Redaction,21,Void,Aggressive,49,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Outlaw,"Destabilizing Rounds
Explosive Payload",Unsated Hunger,Destabilizing access but mediocre reload perk and bad archetype,39,D
,Combined Action,21,Arc,Aggressive,53,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Eddy Current,Voltshot,Field-Tested,good reload perk but Voltshot on awful reload archetype,40,D
,Round Robin,20,Strand,Aggressive,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Keep Away
Subsistence","Hatchling
Golden Tricorn",Nanotech Tracer Missiles,origin decent but rest of package not that appealing,41,D
,Rose,19,Kinetic,Lightweight,58,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,Explosive Payload,None,like Better Devils without perk diversity,42,E
,Cantata-57,16,Arc,Adaptive,45,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,Timed Payload,Suros Synergy,reload perk + EP/TP,43,E
,Optative,23,Void,Precision,54,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Repulsor Brace
Demolitionist
Attrition Orbs","Golden Tricorn
Wellspring",Nano-Munitions,good origin and unique perks but not very impactful,44,E
,IKELOS_HC_V1.0.3,19,Void,Precision,53,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,"Repulsor Brace
Golden Tricorn
Frenzy",Rasputin's Arsenal,"uptime-focused single target perks, not great",45,E
,Malediction,22,Kinetic,Aggressive,60,No,Fluted Barrel,Flared Magwell,Enlightened Action,Explosive Payload,Wild Card,reload perk + EP/TP,46,E
,Bottom Dollar,13,Void,Aggressive,59,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,"Dragonfly
Explosive Payload",Gun and Run,reload perk + splash/EP/TP,47,E
,Crimil's Dagger,24,Kinetic,Aggressive,56,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Enlightened Action,Explosive Payload,Häkke Breach Armaments,reload perk + EP/TP,48,E
,True Prophecy,10,Kinetic,Aggressive,52,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine","Grave Robber
Field Prep","Explosive Payload
Timed Payload",None,reload perk + EP/TP,49,E
,Annual Skate,15,Solar,Adaptive,52,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine",Outlaw,"Dragonfly
Timed Payload",None,reload perk + splash/EP/TP,50,E
,D.F.A.,17,Kinetic,Adaptive,58,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Outlaw,Timed Payload,Stunning Recovery,reload perk + EP/TP,51,E
,Seventh Seraph Officer Revolver,19,Kinetic,Precision,52,No,Fluted Barrel,"Flared Magwell
Alloy Magazine","Reconstruction
Fourth Time's the Charm","Vorpal Weapon
Redirection",Rasputin's Arsenal,no reload boost + no consistent damage perk,52,F
,Frontier's Cry,16,Solar,Precision,48,No,Fluted Barrel,"Flared Magwell
Alloy Magazine","Rapid Hit
Stats for All","One for All
Kill Clip",Skulking Wolf,reload perk + dated damage perks,53,F
,Survivor's Epitaph,14,Kinetic,Precision,47,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Rapid Hit,"Frenzy
One for All",One Quiet Moment,reload perk + Frenzy,54,F
,Austringer,17,Kinetic,Adaptive,53,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Compulsive Reloader
Outlaw",Frenzy,To Excess,reload perk + Frenzy,55,F
,Loud Lullaby,8,Kinetic,Aggressive,48,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Subsistence,"Frenzy
Explosive Payload",None,have to choose between Frenzy and EP,56,F
,Nature of the Beast,11,Arc,Precision,57,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine",Subsistence,Dragonfly,None,bad reload perk + weak splash,57,F
,Crisis Inverted,16,Arc,Adaptive,52,No,Fluted Barrel,"Flared Magwell
Alloy Magazine","Demolitionist
Shoot to Loot
Rapid Hit",One for All,Suros Synergy,bad HC damage perk,58,F
,Pure Poetry,18,Kinetic,Aggressive,50,No,Fluted Barrel,"Flared Magwell
Alloy Magazine",Shoot to Loot,Frenzy,Häkke Breach Armaments,basically just Frenzy on bad archetype,59,F
,Dire Promise,10,Kinetic,Adaptive,60,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine",Auto-Loading Holster,Swashbuckler,None,niche damage perk,60,F
,The Steady Hand,12,Kinetic,Aggressive,40,No,Fastdraw HCS,"Flared Magwell
Alloy Magazine",Outlaw,Swashbuckler,None,niche damage perk,61,F
,Kept Confidence,22,Strand,Adaptive,55,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Loose Change,Collective Action,Head Rush,nothing redeeming,62,F
