#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Lightweight Frame
Caster Frame
Wave Frame","Arc Conductor
The Perfect Fifth
Wolfpack Rounds","Splash add clear
Sword boss damage","CE, SE",Pale Heart
2,,Perfect Paradox,Legendary,Kinetic,,,,Barrel Shroud,"Tactical Mag
Light Mag","Field Prep
Pugilist","One-Two Punch
Trench Barrel","Burst single target damage
One-two punch",Universal,S24 pool
2,,Psychopomp,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Envious Arsenal
Ambitious Assassin
Pugilist","Elemental Honing
Rolling Storm
Demolitionist",Trapping doors,Universal,S26 pool
2,,Pure Recollection,Legendary,Energy,,,,Fluted Barrel,Ricochet Rounds,Envious Arsenal,"Bait and Switch
Withering Gaze","Dying
Debuff extension",Universal,Hawthorne
2,,Refurbished A499,Legendary,Power,,,,Fluted Barrel,Flared Magwell,"Gutshot Straight
Bewildering Burst
Snapshot Sights",Aggregate Charge,Sustained boss damage,Universal,Lawless Frontier
2,,Retraced Path,Legendary,Energy,,,,Fluted Barrel,Light Battery,"Shoot to Loot
Subsistence
Adaptive Munitions","Demolitionist
Incandescent
Frenzy","Avoiding primary swaps
Special single shot add clear
Shooting bricks",Universal,Dares of Eternity
2,,Returned Memory,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Heal Clip
Impulse Amplifier
Lead from Gold","Incandescent
Redirection
Desperate Measures",Splash add clear,Universal,Hawthorne
2,,Salvation's Grip,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Blocking spawn points
Creating terrain","VotD, KF, RoN",The Stasis Prototype quest
2,,Starscape Null,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Rewind Rounds
Reconstruction","One-Two Punch
Trench Barrel",One-two punch,Universal,Desert Perpetual - Epic
2,,Still Hunt,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst crit damage,Universal,Pale Heart quest
2,,Synanceia,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Swordmaster's Guard","Relentless Strikes
Attrition Orbs
Sharp Harvest","Eager Edge
Elemental Honing
Surrounded","Movement
Sustained sword damage",Universal,Event drop
2,,Tessellation,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Ranged burst damage,Universal,Monument to Lost Lights
2,,The Fourth Horseman,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Imprecise single target burst,Universal,Monument to Lost Lights
2,,The When and Where,Legendary,Power,,,,Quick Launch,Impact Casing,"Clown Cartridge
Overflow
Reconstruction","Reaper's Tithe
Surrounded
Bait and Switch
Bipod",Burst boss damage,Universal,Desert Perpetual
2,,Tinasha's Mastery,Legendary,Kinetic,,,,Volatile Launch,High-Explosive Ordnance,"Air Trigger
Reverberation","Chill Clip
Desperate Measures
Surrounded","Avoiding primary swaps
Ammo efficient fast add clear",Universal,Iron Banner
2,,Trinity Ghoul,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Low health rapid add clear,Universal,World drop
2,,Unsworn,Legendary,Kinetic,,,,Fluted Barrel,Light Battery,Shoot to Loot,"Detonator Beam
Hatchling","Avoiding primary swaps
Special single shot add clear
Shooting bricks",Universal,Sundered Doctrine
2,,VS Velocity Baton,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Repulsor Brace","Attrition Orbs
Destabilizing Rounds","Trapping doors
Orb generation",Universal,Vesper's Host
3,,Adamantite,Legendary,Kinetic,,,,Fluted Barrel,Accurized Rounds,"Reciprocity
Slice",Attrition Orbs,"Healing vulnerable teammates
Universal damage boost",Universal,S26 pool
3,,Bad Juju,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Farming super,Universal,Monument to Lost Lights
3,,Conspiracy Honed,Legendary,Kinetic,,,,Fluted Barrel,Ionized Heatsink,Vorpal Weapon,Bait and Switch,Burst boss damage,Universal,Equilibrium
3,,Critical Anomaly,Legendary,Kinetic,,,,Fluted Barrel,Tactical Mag,"Chill Clip
Rewind Rounds",Chaos Reshaped,Artifact-independent Overload,Universal,Salvation's Edge
3,,Cusp Sempiternal,Legendary,Energy,,,,Fluted Barrel,Accurized Rounds,"Impulse Amplifier
Repulsor Brace
Reciprocity","Destabilizing Rounds
Circle of Life","Healing vulnerable teammates
Universal damage boost",Universal,
3,,Divinity,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,"15% debuff with crit bubble
Intrinsic overload",GMs,Garden of Salvation
3,,"Edge Transit
BRAVE version",Legendary,Power,,,,Quick Launch,Sticky Grenades,Cascade Point,Explosive Light,Burst boss damage,Universal,Onslaught
3,,Eriana's Vow,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,"Rapid piercing damage
Destroying oracles
Death Throes stacking
Long range hitscan Barrier","VoG, Duality, VotD",Monument to Lost Lights
3,,Ex Diris,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Dying quickly,Universal,Monument to Lost Lights
3,,Finality's Auger,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Trapping doors,VoG,Sundered Doctrine
3,,Ice Breaker,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Ammo generation,Universal,Vesper's Host
3,,Imperial Decree,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded","Burst single target damage
Slow single weapon damage",Universal,S20 focusing
3,,Martyr's Retribution,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Heal Clip
Demolitionist
Auto-Loading Holster","Incandescent
Kill Clip",Ammo efficient add clear,Universal,S24 pool
3,,New Malpais,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Trapping spawns
Pre-activating objectives","TST, SotW",Monument to Lost Lights
3,,Praedyth's Revenge,Legendary,Kinetic,,,,Fluted Barrel,Tactical Mag,"Kinetic Tremors
Fourth Time's the Charm","Elemental Honing
Bait and Switch","Quick ranged hitscan kills
Augmenting boss damage",Universal,Vault of Glass
3,,Tarnation,Legendary,Power,,,,Volatile Launch,High-Explosive Ordnance,Field Prep,Danger Zone,Vault add clear,Last Wish,Throne World pool
3,,The Call,Legendary,Kinetic,,,,Volatile Launch,High-Explosive Ordnance,"Slice
Lead from Gold
Demolitionist","Desperate Measures
Golden Tricorn
One for All","Avoiding primary swaps
Ammo efficient fast add clear",Universal,Pale Heart pool
3,,The Mountaintop,Legendary,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Boosting jump height,Universal,Monument to Lost Lights
3,,"The Mountaintop
BRAVE version",Legendary,Kinetic,,,,"Hard Launch
Quick Launch","Implosion Rounds
Sticky Grenades","Auto-Loading Holster
Overflow
Demolitionist
Lead from Gold","Recombination
Frenzy","Boosting jump height
Augmenting boss damage",Universal,Onslaught
3,,The Other Half,Legendary,Power,,,,"Enduring Blade
Jagged Edge","Heavy Guard
Swordmaster's Guard",Eager Edge,"Surrounded
Frenzy
Vorpal Weapon",Movement,Universal,Dares of Eternity
3,,The Wardcliff Coil,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Melting vehicle bosses,"The Scarlet Keep, The Shattered Throne",World drop
3,,Unfall,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Impulse Amplifier
Lead from Gold
Beacon Rounds","Master of Arms
Rolling Storm
Jolting Feedback",Splash add clear,Universal,Hawthorne
3,,Unvoiced,Legendary,Energy,,,,Fluted Barrel,Assault Mag,"Redirection
Fourth Time's the Charm","Elemental Honing
Bait and Switch",Special burst damage,Universal,Sundered Doctrine
3,,Verglas Curve,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Making terrain for lining,"KF, RoN",Monument to Lost Lights
3,,VS Chill Inhibitor,Legendary,Power,,,,Volatile Launch,High-Explosive Ordnance,Demolitionist,Chain Reaction,Vault add clear,LW,Vesper's Host
3,,Whirling Ovation,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Delayed burst damage,RoN,Desert Perpetual
3,,Witherhoard,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Trapping spawns,Universal,Monument to Lost Lights
3,,Worldline Zero,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Blade Focus long lines,LW,Monument to Lost Lights
3,,Xenophage,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Ranged hitscan bursts,Universal,Pit of Heresy
N/A,,Acasia's Dejection,Legendary,Energy,,,,Fluted Barrel,Light Battery,"Reconstruction
Field Prep","Frenzy
Paracausal Affinity","Avoiding primary swaps
Special single shot add clear",Universal,Root of Nightmares
N/A,,Apex Predator,Legendary,Power,,,,Quick Launch,Impact Casing,Reconstruction,"Bait and Switch
Bipod
Surrounded",Burst splash damage,Universal,Last Wish
N/A,,Arbalest,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Single target piercing damage
Intrinsic Barrier",GMs,Intro exotic quest
N/A,,Arcane Embrace,Legendary,Energy,,,,Fluted Barrel,Appended Mag,"Fourth Time's the Charm
Air Trigger
Grave Robber","Precision Instrument
Surrounded",Fastest Cascade trigger,Universal,Festival of the Lost
N/A,,Bastion,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Object destruction
Intrinsic Unstoppable
Ranged long duration 12P","DSC, Prophecy, Lake of Shadows, etc.",Monument to Lost Lights
N/A,,Bitter/Sweet,Legendary,Power,,,,Quick Launch,"Spike Grenades
Mini Frags",Envious Arsenal,Bait and Switch,Non-rocket burst damage,Universal,S25 pool
N/A,,Briar's Contempt,Legendary,Power,,,,Fluted Barrel,Accelerated Coils,Rewind Rounds,Surrounded,Specialized sustained damage,Universal,Root of Nightmares
N/A,,Bump in the Night,Legendary,Power,,,,Quick Launch,Impact Casing,"Demolitionist
Auto-Loading Holster","Chill Clip
Frenzy",Chill Clip application,SotW,Presage
N/A,,Calus Mini-Tool,Legendary,Energy,,,,Fluted Barrel,Flared Magwell,Threat Detector,Incandescent,General primary,Universal,Presage
N/A,,Cataclysmic,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Fourth Time's The Charm,Bait and Switch,Ranged sustained damage,Universal,Vow of the Disciple
N/A,,Cataphract GL3,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Assassin
Auto-Loading Holster","Bait and Switch
Cascade Point",Non-rocket burst damage,N/A,Trials of Osiris
N/A,,Cold Comfort,Legendary,Power,,,,Quick Launch,Impact Casing,Envious Assassin,Bait and Switch,Burst splash damage,Universal,Ghosts of the Deep
N/A,,Commemoration,Legendary,Power,,,,Fluted Barrel,Extended Mag,"Reconstruction
Subsistence","Killing Tally
Rampage",General add clear,Universal,Deep Stone Crypt
N/A,,Conditional Finality,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Unstoppable stun
Instant freeze or ignite",Universal,Root of Nightmares
N/A,,Corrective Measure,Legendary,Power,,,,Fluted Barrel,Flared Magwell,"Demolitionist
Subsistence",Firefly,General add clear,Universal,Vault of Glass
N/A,,Crux Termination IV,Legendary,Power,,,,Quick Launch,Impact Casing,"Slideshot
Reconstruction
Clown Cartridge","Surrounded
Bipod","Niche boss damage
Burst splash damage",GMs,World drop
N/A,,Cynosure,Legendary,Power,,,,Quick Launch,Impact Casing,"Envious Arsenal
Overflow
Clown Cartridge","Elemental Honing
Bipod
High Ground",Burst splash damage,Universal,Vanguard pool
N/A,,Dead Weight,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Auto-Loading Holster
Lead from Gold","One-Two Punch
Surrounded
Frenzy
Vorpal Weapon","One-two punch
Major burst
Fast single weapon damage",Universal,Gambit pool
N/A,,Deafening Whisper,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,Ambitious Assassin,"Wellspring
Auto-Loading Holster
Unrelenting",Ammo efficient add clear,Universal,Dares of Eternity (rotation)
N/A,,Defiance of Yasmin,Legendary,Kinetic,,,,Fluted Barrel,Extended Mag,"Shoot to Loot
Ensemble
Lead From Gold","Slickdraw
Firing Line","Shoot to loot kinetic
Augmenting damage",Universal,King's Fall
N/A,,Distant Tumulus,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Clown Cartridge,Firing Line,"Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Dares of Eternity (rotation)
N/A,,Empty Vessel,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Danger Zone
Vorpal Weapon","Blinding enemies
Filling ranged swap rotation",Universal,Vanguard pool
N/A,,Explosive Personality,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Threat Detector","Frenzy
Unrelenting",Ammo efficient add clear,Universal,Vox Obscura
N/A,,"First In, Last Out",Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Surrounded",Double slug,Universal,Dares of Eternity (rotation)
N/A,,Fixed Odds,Legendary,Power,,,,Arrowhead Brake,Extended Mag,Field Prep,Incandescent,General add clear,Universal,Duality
N/A,,Forbearance,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Ambitious Assassin
Unrelenting
Genesis","Chain Reaction
Wellspring",Ammo efficient add clear,Universal,Vow of the Disciple
N/A,,"Forbearance
BRAVE version",Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Ambitious Assassin
Unrelenting","Chain Reaction
Desperate Measures",Ammo efficient add clear,Universal,Onslaught
N/A,,Fortissimo-11,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,"Threat Detector
Demolitionist
Fourth Time's the Charm","Vorpal Weapon
Surrounded
Frenzy",Double slug,Universal,Vanguard pool
N/A,,Funnelweb,Legendary,Energy,,,,Fluted Barrel,Flared Magwell,"Subsistence
Steady Hands
Perpetual Motion",Frenzy,General primary,Universal,World drop
N/A,,Grand Overture,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Extremely high burst,Universal,Monument to Lost Lights
N/A,,Gunnora's Axe,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Auto-Loading Holster,Vorpal Weapon,Double slug,Universal,Iron Banner pool
N/A,,Half-Truths,Legendary,Power,,,,"Enduring Blade
Jagged Edge","Heavy Guard
Swordmaster's Guard","Duelist's Trance
Tireless Blade",Eager Edge,Movement,Universal,Dares of Eternity
N/A,,Harsh Language,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Wellspring
Field Prep","Repulsor Brace
Destabilizing Rounds",Ammo efficient add clear,Universal,World drop
N/A,,Heritage,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,Reconstruction,Recombination,"Single target burst
Double slug",Universal,Deep Stone Crypt
N/A,,Hollow Denial,Legendary,Energy,,,,Fluted Barrel,Light Battery,Lead From Gold,"Repulsor Brace
Wellspring","Avoiding primary swaps
Special single shot add clear",Universal,Presage
N/A,,Ignition Code,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,Slideshot,"Demolitionist
Frenzy
Danger Zone",Blinding enemies,Universal,Dares of Eternity (rotation)
N/A,,IKELOS_SMG_V1.0.2,Legendary,Energy,,,,Fluted Barrel,"Seraph Rounds
Flared Magwell",Threat Detector,"Demolitionist
Surrounded",General primary,Universal,N/A
N/A,,IKELOS_SMG_V1.0.3,Legendary,Energy,,,,Fluted Barrel,"Seraph Rounds
Flared Magwell","Shoot to Loot
Threat Detector","Voltshot
Surrounded
Frenzy",General primary,Universal,Operation: Seraph's Shield
N/A,,IKELOS_SR_V1.0.2,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's The Charm
Triple Tap","High-Impact Reserves
Quickdraw","Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Operation: Seraph's Shield
N/A,,IKELOS_SR_V1.0.3,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's The Charm
Overflow","High-Impact Reserves
Slickdraw","Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Operation: Seraph's Shield
N/A,,Ill Omen,Legendary,Power,,,,Jagged Edge,Swordmaster's Guard,"Attrition Orbs
Relentless Strikes","Whirlwind Blade
Surrounded",Sword boss damage,"CE, SE",S24 pool
N/A,,Indebted Kindness,Legendary,Energy,,,,Quick Launch,Tactical Mag,"Impulse Amplifier
Lead From Gold","Surrounded
Voltshot","Avoiding primary swaps
Ammo efficient fast add clear",Universal,Warlord's Ruin
N/A,,Judgment of Kelgorath,Legendary,Energy,,,,Tempered Truss Rod,Swap Mag,Pugilist,Close to Melee,Melee sustained damage,Universal,Operation: Seraph's Shield
N/A,,Koraxis's Distress,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Assassin
Reconstruction",Surrounded,Situational non-rocket burst,"GoS, LW",Root of Nightmares
N/A,,Legato-11,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Cascade Point","Double slug
Damage rotation fill",Universal,World drop
N/A,,Lingering Dread,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,Auto-Loading Holster,Chill Clip,"Blinding enemies
Chill Clip application",Universal,Duality
N/A,,Liturgy,Legendary,Kinetic,,,,Quick Launch,"Spike Grenades
Disorienting Grenades","Envious Arsenal
Slideways",Chill Clip,"Blinding Overload option
Filling ranged swap rotation",Universal,S25 pool
N/A,,Marsilion-C,Legendary,Power,,,,Quick Launch,Spike Grenades,Envious Assassin,"Cascade Point
Full Court",Non-rocket burst damage,SE,Gunsmith pool
N/A,,Mindbender's Ambition,Legendary,Energy,,,,Barrel Shroud,Assault Mag,Threat Detector,Vorpal Weapon,Double pellet,Universal,Vanguard legacy focusing
N/A,,Nessa's Oblation,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Reconstruction,Vorpal Weapon,Double slug,Universal,Root of Nightmares
N/A,,New Pacific Epitaph,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Lead from Gold
Unrelenting",Redirection,Ammo efficient add clear,Universal,Ghosts of the Deep
N/A,,No Reprieve,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,Triple Tap,Surrounded,Double slug,"Last Wish, Spire of the Watcher",N/A
N/A,,Omniscient Eye,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's the Charm
Envious Arsenal","Precision Instrument
Vorpal Weapon",Augmenting damage,Universal,Garden of Salvation
N/A,,One Small Step,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,"Slideshot
Lead From Gold
Surplus",One-Two Punch,One-two punch,Universal,Moon essence
N/A,,Pardon Our Dust,Legendary,Kinetic,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Vorpal Weapon","Blinding enemies
Augmenting boss damage",Universal,Dares of Eternity
N/A,,Qullim's Terminus,Legendary,Power,,,,Fluted Barrel,Flared Magwell,Ensemble,"Killing Tally
Firefly",General add clear,Universal,King's Fall
N/A,,Ragnhild-D,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,"Auto-Loading Holster
Ensemble",Frenzy,Double pellet,Universal,World drop
N/A,,Rake Angle,Legendary,Kinetic,,,,Lightweight Emitter,"Extended Mag
Swap Mag","Overflow
Impulse Amplifier
Lead from Gold",Chill Clip,Overload stun,Lost sectors,Nightfalls
N/A,,Red Herring,Legendary,Power,,,,Quick Launch,Impact Casing,Field Prep,Frenzy,Burst splash damage,GMs,Throne World pool
N/A,,Reed's Regret,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Triple Tap,Firing Line,Ranged sustained damage,Universal,Trials of Osiris
N/A,,Retrofuturist,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Slickdraw
Auto-Loading Holster","Frenzy
Vorpal Weapon",Double pellet,Universal,Crucible pool
N/A,,Riiswalker,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,"Quickdraw
Surplus",Vorpal Weapon,Double pellet,KF,Iron Banner legacy focusing
N/A,,Riptide,Legendary,Kinetic,,,,Arrowhead Brake,Accelerated Coils,"Auto-Loading Holster
Lead from Gold
Field Prep","Chill Clip
Vorpal Weapon
Frenzy",Chill Clip application,Universal,Crucible pool
N/A,,Scatter Signal,Legendary,Kinetic,,,,Fluted Barrel,Enhanced Battery,"Overflow
Slice",Controlled Burst,Augmenting damage,Universal,S23 pool
N/A,,Seventh Seraph CQC-12,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,Auto-Loading Holster,Vorpal Weapon,"Double pellet
Killing majors",Universal,N/A
N/A,,Sojourner's Tale,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Frenzy
Surrounded",Double slug,Universal,Dares of Eternity (rotation)
N/A,,Sovereignty,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Demolitionist
Explosive Payload",Withering Gaze,Artifact-independent weaken,Universal,S25 pool
N/A,,Stormchaser,Legendary,Power,,,,Arrowhead Brake,"Accelerated Coils
Enhanced Battery","Auto-Loading Holster
Clown Cartridge",Firing Line,Ranged sustained damage,Universal,Duality
N/A,,Submission,Legendary,Kinetic,,,,Fluted Barrel,Flared Magwell,Perpetual Motion,"Frenzy
Demolitionist",General primary,Universal,Vow of the Disciple
N/A,,Succession,Legendary,Kinetic,,,,Fluted Barrel,"Extended Mag
Tactical Mag","Reconstruction
Demolitionist","Vorpal Weapon
Snapshot Sights
Recombination
Osmosis","Quick ranged hitscan kills
Death Throes stacking",Universal,Deep Stone Crypt
N/A,,Summum Bonum,Legendary,Power,,,,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Attrition Orbs
Deconstruct","Chaos Reshaped
Whirlwind Blade
Surrounded",Melee range boss damage,SE,Salvation's Edge
N/A,,Taipan-4fr,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Triple Tap,Firing Line,Ranged sustained damage,Universal,"World drop
Enclave quest"
N/A,,The Comedian,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Ensemble
Lead from Gold","Vorpal Weapon
Trench Barrel","Double pellet
Slow single weapon damage",Universal,Vanguard legacy focusing
