WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Faustus Decline,27,Stasis,Lightweight,Tenet of Bravery,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Demolitionist
Rimestealer",Headstone,Bray Legacy,no Headstone + damage but decent perks on good origin and frame,21,B
,Breachlight,24,Strand,Heavy Burst,Xur,,27,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Demolitionist
Pugilist
Slice","Hatchling
Swashbuckler",Cast No Shadows,"great melee synergy option with origin, splash options not great",22,B
,Mykel's Reverence,29,Strand,Rapid,Root of Nightmares,,67,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Slice
Collective Demolition","Hatchling
Master of Arms",Harmonic Resonance,solid archetype with okay 1st column and middling 2nd column,23,B
,Senuna SI6,20,Stasis,Adaptive Burst,Banshee,,46,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Grave Robber
Feeding Frenzy",Headstone,Omolon Fluid Dynamics,mediocre reload + Headstone,24,C
,The Vision,14,Arc,Adaptive Burst,Xur,,47,No,Quickdot SAS,"Flared Magwell
Alloy Magazine",Grave Robber,"Swashbuckler
Kill Clip",None,decent melee-oriented perks on good archetype,25,C
,Boudica-C,18,Kinetic,Precision,Banshee,,34,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Threat Detector
Pugilist","Surrounded
Frenzy",Häkke Breach Armaments,bad frame but decent uptime perks,26,C
,Allied Demand,29,Kinetic,Adaptive,Iron Banner,,44,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rapid Hit
Auto-Loading Holster","Frenzy
Under-Over",Skulking Wolf,"high uptime single target roll, no splash",27,D
,Lonesome,29,Kinetic,Precision,Gambit,,39,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Grave Robber
Rapid Hit",Swashbuckler,Gun and Run,Grave/Swash niche but bad frame,28,D
,Enigma's Draw,10,Kinetic,Precision,Xur,,33,No,Quickdot SAS,"Flared Magwell
Alloy Magazine",Grave Robber,Swashbuckler,None,Grave/Swash niche but bad frame,29,D
,The Last Dance,29,Arc,Adaptive Burst,Zavala,,45,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Threat Detector,Dragonfly,Vanguard Determination,weak splash but good frame,30,D
,Controlling Vision,24,Kinetic,Adaptive,Banshee,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Surplus,"Surrounded
High Ground",Field-Tested,"only High Ground sidearm, otherwise unremarkable, decent origin",31,D
,Spoiler Alert,29,Kinetic,Lightweight,Zavala,,27,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Threat Detector,"Frenzy
Swashbuckler",Vanguard Determination,good uptime perks on decent frame,32,D
,Redback-5SI,16,Solar,Lightweight,Banshee,,45,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Compulsive Reloader,"Surrounded
Vorpal Weapon",Veist Stinger,more niche perks vs. Spoiler Alert but usable,33,D
,Farewell,14,Kinetic,Lightweight,"Xur, Dares",,28,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Subsistence,Frenzy,None,"weak 1st column, decent frame",34,E
,A Swift Verdict,15,Void,Precision,Prophecy,,32,No,Quickdot SAS,"Flared Magwell
Alloy Magazine",Threat Detector,Surrounded,None,bad frame but not a bad perk pairing,35,E
,Fioritura-59,19,Void,Rapid,Banshee,,63,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Threat Detector
Pugilist","Repulsor Brace
Swashbuckler",Suros Synergy,"Repulsor with no Void pairing, decent frame",36,E
,The Fool's Remedy,11,Solar,Rapid,Iron Banner,,69,No,Quickdot SAS,"Flared Magwell
Alloy Magazine",Feeding Frenzy,Kill Clip,None,perk combo doesn't scale well into endgame,37,E
,High Albedo,12,Kinetic,Adaptive Burst,Europa,,47,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Threat Detector,Demolitionist,None,good archetype but no damage perks,38,F
