WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,IKELOS_SMG_V1.0.3,29,Arc,Aggressive,Seraph's Shield,,45,Yes,"Fluted Barrel
Arrowhead Brake",Seraph Rounds,"Threat Detector
Shoot to Loot",Voltshot,Rasputin's Arsenal,"worse frame than Subjunctive, also worse origin, but still pretty decent",,B
,The Immortal,28,Strand,Aggressive,Trials,,37,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Slice
Hatchling",Master of Arms,Field-Tested,"might be the worst AO SMG, extremely disappointing second column, otherwise fine",,B
,CALUS Mini-Tool,29,Solar,MIDA Synergy,Presage,,70,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Unrelenting
Threat Detector",Incandescent,To Excess,"no sustain perk in left column, bad origin, otherwise decent Incandescent SMG",,B
,Qua Nilus II,27,Strand,Adaptive,"Tenet of Bravery, Zavala",,50,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Slice,"Hatchling
Surrounded",Wild Card,"weakest 3.0 splash effect on an SMG, has Slice and decent origin/frame though",,B
,Seventh Seraph VY-7,29,Arc,Precision,Cosmodrome,,30,Yes,"Fluted Barrel
Arrowhead Brake",,,Jolting Feedback,Eyes Up,,,
,Prolonged Engagement,29,Stasis,Lightweight,Fireteam Ops,,60,Yes,"Fluted Barrel
Arrowhead Brake",,,,Accelerated Assault,,,
,Yarovit MG4,24,Stasis,Lightweight,Banshee,,49,Yes,"Fluted Barrel
Arrowhead Brake",,,,Omolon Fluid Dynamics,,,
,Blood Feud,29,Stasis,Aggressive,Xur,,31,Yes,"Fluted Barrel
Arrowhead Brake",,,,Right Hook,,,
,Cold Front,23,Kinetic,Aggressive,?,,34,No,"Fluted Barrel
Arrowhead Brake",,,,Häkke Breach Armaments,,,
,Mirror Imago,26,Strand,Adaptive,Xur,,36,Yes,"Fluted Barrel
Arrowhead Brake",,,,Runneth Over,,,
,Borrowed Time,14,Solar,Aggressive,Gambit,,38,No,"Fluted Barrel
Arrowhead Brake",,,,Field-Tested,,,
,Funnelweb,16,Void,Lightweight,Banshee,,45,No,"Fluted Barrel
Arrowhead Brake",,,,Veist Stinger,,,
,Escape Velocity,10,Kinetic,Lightweight,Xur,,70,No,IS 5 Circle,,,,None,,,
,Boondoggle Mk. 55,26,Kinetic,Aggressive,Banshee,,33,Yes,"Fluted Barrel
Arrowhead Brake",,,,Tex Balanced Stock,,,
,Stochastic Variable,14,Arc,Lightweight,Xur,,40,No,"Fluted Barrel
Arrowhead Brake",,,,None,,,
,Rapacious Appetite,29,Stasis,Aggressive,Xur,,34,Yes,"Fluted Barrel
Arrowhead Brake",,,,Unsated Hunger,,,
,Extraordinary Rendition,13,Kinetic,Aggressive,"Xur, Dares",,35,No,"Fluted Barrel
Arrowhead Brake",,,,None,,,
,Pizzicato-22,18,Kinetic,Adaptive,Banshee,,40,No,"Fluted Barrel
Arrowhead Brake",,,,Suros Synergy,,,
,Enyo-D,17,Kinetic,Precision,Banshee,,24,No,"Fluted Barrel
Arrowhead Brake",,,,Häkke Breach Armaments,,,
,Friction Fire,12,Kinetic,Precision,"Xur, Dares",,22,No,"Fluted Barrel
Arrowhead Brake",,,,None,,,
